Functional Category - BP,gene_ID
Catabolic process,AT1G02310 AT1G03220 AT1G05520 AT1G05620 AT1G06310 AT1G06570 AT1G09850 AT1G11080 AT1G15740 AT1G22440 AT1G32340 AT1G33360 AT1G44130 AT1G47510 AT1G51350 AT1G63770 AT1G65580 AT1G66280 AT2G03200 AT2G14170 AT2G14720 AT2G19150 AT2G19570 AT2G25490 AT2G25940 AT2G30290 AT2G31260 AT2G33150 AT2G35770 AT2G41790 AT2G43020 AT2G44450 AT2G45040 AT2G46030 AT3G01260 AT3G03540 AT3G05290 AT3G07550 AT3G07970 AT3G09640 AT3G12640 AT3G13330 AT3G17810 AT3G19190 AT3G19390 AT3G20395 AT3G30775 AT3G44260 AT3G44300 AT3G47040 AT3G48340 AT3G52850 AT3G53180 AT3G53230 AT3G53930 AT3G60130 AT3G60140 AT4G01610 AT4G03360 AT4G04460 AT4G11310 AT4G13250 AT4G13890 AT4G14160 AT4G14990 AT4G16563 AT4G16760 AT4G19720 AT4G20110 AT4G29380 AT4G30640 AT4G30790 AT4G34030 AT4G35350 AT4G35970 AT5G03340 AT5G19100 AT5G19120 AT5G20940 AT5G25350 AT5G26940 AT5G27520 AT5G28510 AT5G45900 AT5G46720 AT5G49360 AT5G49900 AT5G50260 AT5G54080 AT5G55590 AT5G61500 AT5G66160 AT1G54040 AT2G38410 AT3G01420 AT3G10740 AT3G45300 AT4G10500 AT4G18550 AT4G26270 AT4G33150 AT5G10300 AT5G48180 AT5G53970 AT5G61580 AT1G03380 AT1G05260 AT1G10050 AT1G11190 AT1G11580 AT1G20120 AT1G28580 AT1G28610 AT1G28670 AT1G48930 AT1G54710 AT1G54790 AT1G56680 AT1G61850 AT1G65610 AT1G68850 AT2G02720 AT2G18150 AT2G19800 AT2G23540 AT2G26560 AT2G29090 AT2G30210 AT2G30550 AT2G32290 AT2G35380 AT2G38390 AT2G39040 AT2G40370 AT2G41480 AT2G42010 AT2G43570 AT2G43580 AT2G45220 AT3G01190 AT3G01540 AT3G09220 AT3G16785 AT3G16920 AT3G19270 AT3G21860 AT3G43270 AT3G50400 AT3G54950 AT3G59950 AT3G62590 AT4G02330 AT4G10590 AT4G16070 AT4G16220 AT4G16690 AT4G19230 AT4G19700 AT4G24690 AT4G26260 AT4G29800 AT4G31670 AT4G33420 AT4G36630 AT4G37050 AT4G37070 AT4G37520 AT4G37530 AT5G01050 AT5G04970 AT5G05340 AT5G05390 AT5G06600 AT5G06720 AT5G06730 AT5G07130 AT5G14180 AT5G14450 AT5G15180 AT5G18670 AT5G20860 AT5G24090 AT5G24360 AT5G25370 AT5G37690 AT5G37710 AT5G45920 AT5G48100 AT5G50950 AT5G54730 AT5G58670 AT5G60020 AT5G62800 AT3G58750 AT1G27320 AT1G54490 AT1G68765 AT2G46240 AT4G28490 AT4G34890 AT4G39850 AT5G35750 AT5G43560 AT5G65640 AT5G24530 AT1G10360 AT1G69930 AT1G75450 AT2G19500 AT2G29450 AT2G29460 AT2G29470 AT3G47340 AT4G29740
Response to oxygen-containing compound,AT1G07400 AT1G07430 AT1G07520 AT1G10480 AT1G22440 AT1G47510 AT1G48500 AT1G50420 AT1G58180 AT1G65580 AT1G68360 AT1G72450 AT2G19310 AT2G29380 AT2G29500 AT2G34600 AT2G38760 AT2G40170 AT3G09640 AT3G17860 AT3G46230 AT3G50970 AT3G50980 AT4G04740 AT4G13890 AT4G19660 AT4G35970 AT4G36070 AT5G05440 AT5G05600 AT5G10230 AT5G12030 AT5G12270 AT5G13220 AT5G51760 AT5G59220 AT5G59720 AT5G66400 AT1G08930 AT1G21270 AT1G52690 AT1G75750 AT3G44290 AT3G53180 AT4G13510 AT4G37050 AT4G39070 AT5G35980 AT1G12240 AT1G12480 AT1G62660 AT1G65690 AT1G68320 AT1G75340 AT2G18300 AT2G22660 AT2G38340 AT2G46510 AT3G50700 AT3G56350 AT4G15400 AT5G10720 AT1G01140 AT1G02860 AT1G04580 AT1G05680 AT1G08920 AT1G12130 AT1G12160 AT1G27320 AT1G34670 AT1G53903 AT1G62280 AT1G66160 AT1G67070 AT1G67100 AT1G73260 AT1G74020 AT1G74310 AT1G80840 AT2G14210 AT2G16720 AT2G26150 AT2G31180 AT2G32700 AT2G33380 AT2G33580 AT2G34340 AT2G34810 AT2G39030 AT2G44840 AT2G46240 AT2G46680 AT2G47770 AT3G01420 AT3G02940 AT3G05970 AT3G09940 AT3G10550 AT3G12580 AT3G15510 AT3G16470 AT3G22060 AT3G22550 AT3G24500 AT3G28210 AT3G30210 AT3G44860 AT3G45860 AT3G46600 AT3G47340 AT3G51440 AT3G54770 AT3G61190 AT4G02280 AT4G02330 AT4G05100 AT4G10500 AT4G16740 AT4G17670 AT4G19700 AT4G20860 AT4G21440 AT4G21830 AT4G22200 AT4G23140 AT4G23150 AT4G23170 AT4G23600 AT4G25000 AT4G28110 AT4G31800 AT4G34410 AT4G39030 AT5G01820 AT5G05410 AT5G09980 AT5G13170 AT5G15970 AT5G16770 AT5G20830 AT5G24090 AT5G24530 AT5G24780 AT5G25910 AT5G35750 AT5G37500 AT5G38895 AT5G39610 AT5G46350 AT5G47220 AT5G49520 AT5G49620 AT5G50915 AT5G56980 AT5G57090 AT5G58670 AT5G59320 AT5G60890 AT5G64900 AT5G65730 AT5G65790 AT5G67480 AT3G30775 AT5G54380 AT1G05260 AT1G15380 AT1G15780 AT1G17440 AT1G18350 AT1G20160 AT1G25540 AT1G52890 AT1G54040 AT1G72180 AT2G33080 AT2G33150 AT2G47800 AT3G05360 AT3G05700 AT3G07700 AT3G13610 AT3G15500 AT3G63150 AT4G08950 AT4G18780 AT4G34890 AT4G36830 AT5G01550 AT5G03730 AT5G05190 AT5G06600 AT5G24240 AT5G24360 AT5G25370 AT5G51060 AT5G60600 AT5G63970 AT2G29120 AT4G35290 AT5G48400 AT5G48410 AT5G24770 AT5G61850
Response to stress,AT1G03380 AT1G07400 AT1G12220 AT1G14780 AT1G18350 AT1G26730 AT1G32330 AT1G47510 AT1G48500 AT1G54710 AT1G65580 AT1G66100 AT1G66280 AT1G69480 AT1G70290 AT1G72450 AT1G80210 AT2G01650 AT2G18700 AT2G19310 AT2G26150 AT2G29500 AT2G34600 AT2G38760 AT2G44450 AT3G08870 AT3G09440 AT3G09640 AT3G10800 AT3G12580 AT3G13530 AT3G17860 AT3G22830 AT3G27660 AT3G45860 AT3G46230 AT3G48450 AT3G50970 AT3G50980 AT3G53230 AT3G59700 AT3G60130 AT3G60140 AT4G10730 AT4G11880 AT4G11900 AT4G19660 AT4G22950 AT4G23140 AT4G23150 AT4G26288 AT4G35970 AT4G36950 AT4G36990 AT5G01550 AT5G03340 AT5G09600 AT5G10230 AT5G12030 AT5G12270 AT5G13220 AT5G24360 AT5G28510 AT5G36910 AT5G40645 AT5G43840 AT5G45900 AT5G48657 AT5G54730 AT5G56550 AT5G59720 AT5G62165 AT5G66400 AT1G08930 AT1G27320 AT1G31280 AT1G52690 AT1G63245 AT2G14170 AT2G19190 AT2G33380 AT3G01420 AT3G51960 AT4G11650 AT4G16260 AT5G24770 AT5G38900 AT5G64900 AT1G05260 AT1G11580 AT1G14370 AT1G14960 AT1G19610 AT1G24030 AT1G30850 AT1G32960 AT1G35310 AT1G59620 AT1G61850 AT1G68850 AT1G69790 AT1G73260 AT1G77330 AT2G01530 AT2G15080 AT2G18150 AT2G26020 AT2G26560 AT2G31880 AT2G35380 AT2G35980 AT2G37870 AT2G38390 AT2G39030 AT2G39040 AT2G39200 AT2G41480 AT2G43120 AT2G43510 AT2G43570 AT2G43580 AT2G44840 AT3G01190 AT3G05360 AT3G11340 AT3G11480 AT3G11660 AT3G13330 AT3G19190 AT3G45290 AT3G46730 AT3G53980 AT3G56350 AT3G58350 AT3G59930 AT3G61190 AT3G63070 AT4G01610 AT4G01895 AT4G10500 AT4G13235 AT4G14465 AT4G19520 AT4G19700 AT4G21440 AT4G21830 AT4G26090 AT4G29140 AT4G29800 AT4G33420 AT4G34060 AT4G34390 AT4G37050 AT4G37070 AT4G37150 AT4G37520 AT4G37530 AT4G39030 AT5G04020 AT5G04045 AT5G05110 AT5G05190 AT5G05340 AT5G06720 AT5G06730 AT5G09980 AT5G10720 AT5G15180 AT5G17880 AT5G18070 AT5G24530 AT5G25910 AT5G43570 AT5G43580 AT5G46330 AT5G46350 AT5G47220 AT5G47910 AT5G50260 AT5G52640 AT5G55410 AT5G55470 AT5G63660 AT1G01140 AT1G03220 AT1G04220 AT1G04580 AT1G05680 AT1G08920 AT1G09560 AT1G13080 AT1G35140 AT1G53903 AT1G54490 AT1G60470 AT1G62280 AT1G62660 AT1G68320 AT1G74020 AT1G74310 AT1G76650 AT1G80840 AT2G15890 AT2G16720 AT2G29450 AT2G30250 AT2G31180 AT2G31260 AT2G32700 AT2G34810 AT2G38340 AT2G42010 AT2G46240 AT2G46510 AT2G46680 AT2G47770 AT2G47800 AT3G05970 AT3G07700 AT3G09940 AT3G10040 AT3G10550 AT3G13610 AT3G16470 AT3G18290 AT3G22550 AT3G23550 AT3G24500 AT3G30775 AT3G43190 AT3G44260 AT3G44540 AT3G44550 AT3G44860 AT3G47340 AT3G48390 AT3G48520 AT3G51440 AT3G56970 AT4G02280 AT4G02330 AT4G05100 AT4G13280 AT4G14630 AT4G16740 AT4G16760 AT4G17670 AT4G19230 AT4G20140 AT4G23170 AT4G23600 AT4G30200 AT4G31800 AT4G34410 AT5G01820 AT5G04150 AT5G05410 AT5G10300 AT5G15970 AT5G16910 AT5G20250 AT5G20830 AT5G24090 AT5G24780 AT5G35750 AT5G37500 AT5G39610 AT5G42900 AT5G45380 AT5G49620 AT5G50950 AT5G56980 AT5G57090 AT5G57510 AT5G58670 AT5G59220 AT5G59320 AT5G62520 AT5G65730 AT5G67480 AT1G72180 AT1G72300 AT1G78290 AT2G23030 AT5G42870 AT5G43560 AT1G02860 AT1G12480 AT1G18420 AT1G20160 AT1G24460 AT1G25540 AT1G35910 AT1G52890 AT1G54040 AT1G65690 AT1G68765 AT1G73130 AT1G77300 AT2G01430 AT2G16005 AT2G22660 AT2G25090 AT2G29460 AT2G32010 AT2G33080 AT2G33580 AT2G34930 AT2G39050 AT2G45220 AT3G02150 AT3G03540 AT3G05700 AT3G08970 AT3G09350 AT3G14395 AT3G15500 AT3G16030 AT3G45680 AT3G47950 AT3G54770 AT3G58620 AT3G58810 AT3G59770 AT3G62590 AT4G08870 AT4G18360 AT4G18780 AT4G19030 AT4G28490 AT4G33070 AT4G34890 AT5G03730 AT5G11250 AT5G13080 AT5G13170 AT5G14180 AT5G15120 AT5G15130 AT5G18525 AT5G25370 AT5G39890 AT5G45800 AT5G48570 AT5G49520 AT5G54380 AT5G60600 AT5G60890 AT5G63970 AT2G33150 AT2G16060
Response to acid chemical,AT1G07430 AT1G10480 AT1G47510 AT1G48500 AT1G50420 AT1G65580 AT1G68360 AT1G72450 AT2G29380 AT2G34600 AT2G38760 AT2G40170 AT3G17860 AT3G50970 AT3G50980 AT4G04740 AT4G13890 AT4G19660 AT4G36070 AT5G05440 AT5G05600 AT5G10230 AT5G13220 AT5G51760 AT5G59220 AT5G66400 AT1G08930 AT1G21270 AT1G52690 AT1G75750 AT3G53180 AT4G13510 AT4G37050 AT5G35980 AT1G12240 AT1G12480 AT1G62660 AT1G65690 AT1G68320 AT2G18300 AT2G22660 AT2G38340 AT2G46510 AT3G50700 AT5G10720 AT1G02860 AT1G04580 AT1G05680 AT1G08920 AT1G12130 AT1G12160 AT1G27320 AT1G34670 AT1G53903 AT1G62280 AT1G67070 AT1G67100 AT1G73260 AT1G74020 AT1G80840 AT2G14210 AT2G16720 AT2G31180 AT2G32700 AT2G33380 AT2G34340 AT2G34810 AT2G39030 AT2G46680 AT2G47770 AT3G01420 AT3G02940 AT3G05970 AT3G09940 AT3G10550 AT3G15510 AT3G16470 AT3G22060 AT3G24500 AT3G28210 AT3G30210 AT3G44860 AT3G45860 AT3G51440 AT3G54770 AT3G61190 AT4G02280 AT4G05100 AT4G10500 AT4G16740 AT4G19700 AT4G20860 AT4G21440 AT4G22200 AT4G23170 AT4G23600 AT4G25000 AT4G28110 AT4G31800 AT4G39030 AT5G01820 AT5G09980 AT5G13170 AT5G15970 AT5G16770 AT5G20830 AT5G24090 AT5G24530 AT5G24780 AT5G35750 AT5G37500 AT5G39610 AT5G46350 AT5G49620 AT5G50915 AT5G56980 AT5G58670 AT5G59320 AT5G60890 AT5G64900 AT5G65730 AT5G65790 AT5G67480 AT3G30775 AT1G05260 AT1G15380 AT1G15780 AT1G17440 AT1G18350 AT1G25540 AT1G52890 AT1G54040 AT2G33150 AT2G47800 AT3G05700 AT3G15500 AT3G63150 AT4G18780 AT4G34890 AT4G36830 AT5G01550 AT5G05190 AT5G05410 AT5G06600 AT5G24240 AT5G24360 AT5G25370 AT5G47220 AT5G60600 AT5G63970 AT2G29120 AT4G35290 AT5G48400 AT5G48410 AT5G24770 AT5G61850
Response to chemical,AT1G07400 AT1G07430 AT1G07520 AT1G10480 AT1G12950 AT1G22440 AT1G47510 AT1G48500 AT1G50420 AT1G58180 AT1G65580 AT1G68360 AT1G71140 AT1G72450 AT2G04100 AT2G19310 AT2G29380 AT2G29500 AT2G33150 AT2G34600 AT2G38760 AT2G40170 AT3G03620 AT3G05290 AT3G09440 AT3G09640 AT3G10800 AT3G12580 AT3G17860 AT3G23550 AT3G46230 AT3G50970 AT3G50980 AT3G53230 AT4G04740 AT4G13890 AT4G19660 AT4G21120 AT4G21910 AT4G26288 AT4G29140 AT4G35970 AT4G36070 AT5G03340 AT5G05440 AT5G05600 AT5G10230 AT5G12030 AT5G12270 AT5G13220 AT5G17700 AT5G24360 AT5G27520 AT5G38030 AT5G51760 AT5G53550 AT5G56550 AT5G57090 AT5G59220 AT5G59720 AT5G63580 AT5G63590 AT5G66400 AT1G08930 AT1G21270 AT1G52690 AT1G75750 AT2G01530 AT2G47000 AT3G22640 AT3G44290 AT3G53180 AT4G13510 AT4G19030 AT4G37050 AT4G39070 AT5G35980 AT1G05260 AT1G10360 AT1G12240 AT1G12480 AT1G19230 AT1G27320 AT1G43040 AT1G59940 AT1G62660 AT1G65690 AT1G68320 AT1G68850 AT1G69930 AT1G72430 AT1G75340 AT1G76190 AT1G77640 AT2G15890 AT2G16060 AT2G17500 AT2G18150 AT2G18300 AT2G22660 AT2G25490 AT2G29450 AT2G29460 AT2G29470 AT2G35380 AT2G35700 AT2G38340 AT2G38390 AT2G39040 AT2G40670 AT2G41480 AT2G44840 AT2G46510 AT3G01190 AT3G01420 AT3G23150 AT3G29670 AT3G50700 AT3G53250 AT3G56350 AT3G63070 AT4G15400 AT4G33420 AT4G34410 AT4G34800 AT4G37520 AT4G37530 AT4G39030 AT5G03730 AT5G05340 AT5G06720 AT5G06730 AT5G07390 AT5G10720 AT5G10990 AT5G15180 AT5G25190 AT5G25350 AT5G35750 AT5G44790 AT5G47220 AT5G47910 AT5G51060 AT5G57390 AT1G01140 AT1G02860 AT1G04580 AT1G05680 AT1G08320 AT1G08920 AT1G12130 AT1G12160 AT1G34670 AT1G53903 AT1G62280 AT1G63770 AT1G66160 AT1G67070 AT1G67100 AT1G73260 AT1G74020 AT1G74310 AT1G80840 AT2G14210 AT2G16720 AT2G26150 AT2G26560 AT2G31180 AT2G32700 AT2G33380 AT2G33580 AT2G34340 AT2G34810 AT2G39030 AT2G40370 AT2G42010 AT2G43570 AT2G46240 AT2G46680 AT2G47260 AT2G47770 AT3G02940 AT3G05360 AT3G05970 AT3G09940 AT3G10040 AT3G10550 AT3G15510 AT3G16470 AT3G22060 AT3G22550 AT3G24500 AT3G28210 AT3G30210 AT3G44300 AT3G44860 AT3G45860 AT3G46600 AT3G47340 AT3G51440 AT3G54770 AT3G58810 AT3G61190 AT4G02280 AT4G02330 AT4G04460 AT4G05100 AT4G10500 AT4G16740 AT4G16760 AT4G17670 AT4G19520 AT4G19700 AT4G20860 AT4G21440 AT4G21830 AT4G22200 AT4G23140 AT4G23150 AT4G23170 AT4G23600 AT4G25000 AT4G28110 AT4G31800 AT4G36740 AT5G01820 AT5G05410 AT5G06839 AT5G09980 AT5G13170 AT5G15970 AT5G16770 AT5G20830 AT5G24090 AT5G24530 AT5G24770 AT5G24780 AT5G25910 AT5G37500 AT5G38895 AT5G39610 AT5G46350 AT5G48070 AT5G48100 AT5G49520 AT5G49620 AT5G50915 AT5G56980 AT5G57510 AT5G58670 AT5G59320 AT5G60890 AT5G64900 AT5G65730 AT5G65790 AT5G66700 AT5G67480 AT1G15670 AT1G80440 AT3G07700 AT3G30775 AT3G59940 AT5G54380 AT1G15380 AT1G15780 AT1G17440 AT1G18350 AT1G20160 AT1G25540 AT1G28130 AT1G52890 AT1G54040 AT1G68765 AT1G72180 AT2G33080 AT2G47800 AT3G05700 AT3G13610 AT3G15500 AT3G22490 AT3G51860 AT3G63150 AT4G01540 AT4G08950 AT4G18780 AT4G34890 AT4G36830 AT5G01550 AT5G05190 AT5G06600 AT5G15120 AT5G24240 AT5G25370 AT5G39890 AT5G45800 AT5G60600 AT5G63970 AT1G07610 AT1G15210 AT2G29120 AT2G29940 AT4G35290 AT5G48400 AT5G48410 AT5G61850
Response to external stimulus,AT1G03380 AT1G26730 AT1G54710 AT1G65580 AT1G69480 AT2G01650 AT3G08870 AT3G45860 AT3G59700 AT4G19660 AT4G23140 AT4G23150 AT5G01550 AT5G19520 AT5G45900 AT5G54730 AT1G12220 AT1G27320 AT1G31280 AT1G63245 AT2G19190 AT2G32700 AT2G33380 AT3G01420 AT3G22640 AT4G11650 AT4G16260 AT5G24770 AT5G38900 AT1G11580 AT1G19610 AT2G15890 AT2G26020 AT2G37870 AT2G43510 AT3G53980 AT3G59930 AT4G01895 AT4G13235 AT5G04045 AT5G04190 AT5G05190 AT5G55410 AT5G63660 AT1G05680 AT1G08320 AT1G12240 AT1G53903 AT1G62660 AT1G67070 AT1G68320 AT1G72140 AT1G73260 AT1G74020 AT1G80840 AT2G31260 AT2G34930 AT2G35980 AT2G42010 AT2G43570 AT2G43580 AT2G45220 AT2G47260 AT2G47800 AT3G05360 AT3G07700 AT3G08860 AT3G09440 AT3G09940 AT3G10550 AT3G11340 AT3G11480 AT3G11660 AT3G12580 AT3G13610 AT3G17810 AT3G18290 AT3G22550 AT3G23550 AT3G44260 AT3G44860 AT3G45680 AT3G47340 AT3G48390 AT3G50970 AT3G51440 AT3G51860 AT3G53160 AT3G53180 AT3G54950 AT3G56970 AT4G02330 AT4G10500 AT4G15760 AT4G16740 AT4G16760 AT4G17670 AT4G19230 AT4G21830 AT4G23170 AT4G31800 AT4G34390 AT4G34410 AT4G37980 AT4G37990 AT4G39030 AT5G04150 AT5G06839 AT5G13220 AT5G13580 AT5G24090 AT5G24530 AT5G27350 AT5G38030 AT5G45380 AT5G45800 AT5G46040 AT5G49520 AT5G53550 AT5G56980 AT5G57110 AT1G72180 AT2G43120 AT4G37150 AT5G42870 AT1G01140 AT1G02860 AT1G18350 AT1G18420 AT1G20160 AT1G25540 AT1G32960 AT1G54040 AT1G61850 AT1G68765 AT1G72490 AT2G14210 AT2G15080 AT2G16005 AT2G22680 AT2G26560 AT2G29460 AT2G39050 AT2G39200 AT2G46240 AT2G47000 AT3G03540 AT3G14395 AT3G16030 AT3G19190 AT3G30775 AT3G48520 AT3G58350 AT3G62590 AT4G08870 AT4G13350 AT4G14465 AT4G18360 AT4G18780 AT4G19700 AT4G26090 AT4G28490 AT5G06720 AT5G10720 AT5G13080 AT5G14180 AT5G17880 AT5G18525 AT5G24360 AT5G25910 AT5G43580 AT5G46330 AT5G46350 AT5G47220 AT5G47910 AT5G47990 AT5G49665 AT5G50260 AT5G51060 AT5G52640 AT5G54380 AT5G57090 AT5G60600 AT5G60890 AT5G63970
Response to drug,AT1G07400 AT1G07520 AT1G12950 AT1G58180 AT1G71140 AT2G04100 AT2G19310 AT2G29500 AT3G03620 AT3G05290 AT3G23550 AT3G46230 AT4G21120 AT4G21910 AT4G29140 AT5G12030 AT5G12270 AT5G17700 AT5G27520 AT5G38030 AT5G59720 AT1G21270 AT4G19030 AT2G16060 AT2G47000 AT4G39030 AT1G02860 AT1G04580 AT1G05680 AT1G08930 AT1G12130 AT1G12160 AT1G34670 AT1G66160 AT1G67070 AT1G68320 AT1G73260 AT1G74310 AT1G80840 AT2G16720 AT2G26150 AT2G31180 AT2G32700 AT2G33380 AT2G33580 AT2G34600 AT2G44840 AT2G46240 AT3G01420 AT3G02940 AT3G05970 AT3G12580 AT3G28210 AT3G44860 AT3G45860 AT3G46600 AT3G51440 AT3G61190 AT4G10500 AT4G21830 AT4G23170 AT4G28110 AT4G31800 AT4G34410 AT4G39070 AT5G05410 AT5G13170 AT5G24530 AT5G25910 AT5G38895 AT5G39610 AT5G46350 AT5G47220 AT5G49520 AT5G65790 AT5G67480 AT1G12480 AT1G15380 AT1G15780 AT1G18350 AT1G20160 AT3G13610 AT4G19660 AT5G05190 AT5G10720 AT5G24360 AT5G51060 AT5G60600 AT1G15210 AT2G29940 AT2G47800
Secondary metabolic process,AT1G66280 AT2G22970 AT2G22980 AT2G22990 AT2G23010 AT2G25160 AT2G33150 AT2G44450 AT3G10450 AT3G44540 AT3G44550 AT3G60130 AT3G60140 AT4G37310 AT4G37430 AT4G37970 AT4G37980 AT4G37990 AT5G09640 AT5G10610 AT5G12270 AT5G28510 AT5G43450 AT1G54040 AT1G64160 AT5G48180 AT2G30210 AT2G40370 AT3G09220 AT5G01050 AT5G05390 AT5G07130 AT5G48100 AT5G60020 AT1G15670 AT1G80440 AT2G37360 AT3G59940 AT5G13580 AT1G04220 AT1G04580 AT1G12130 AT1G12160 AT1G61810 AT1G61820 AT1G62570 AT1G65690 AT1G68320 AT1G68360 AT1G76790 AT3G11430 AT3G11580 AT3G13610 AT5G05340 AT5G23190 AT5G41040 AT5G58860 AT5G60890 AT5G63560 AT5G65640 AT1G10360 AT1G69930 AT2G29450 AT2G29460 AT2G29470
